Official name of position,internal disk name,internal naming per Disk,Module,flex cable,HubID,PC position phi,PC position Mirror,PC port,PC identifier,PC name,DCDC,DCDC J11/J12,DCDC channel,DCDC name,Filterboard DCS,Filterboard module power,POH board,POH Bundle,POH SN,DOH bundle,DOH QR,DOH A/B,CCU,channel,PP0 Adapter/FED,PP0 Ad.Slot/FED,PP0 Adapter/FEC,PP0 Ad.Slot/FEC,internal POH no,POH fiber color,FED channel,FED position,FED receiver,FED ID,FEC/FED crate,FEC ID,FEC position,mfec,mfecchannel,,,,,,,
FPix_BmI_D1_BLD1_PNL2_RNG1,HC1-Disk1-Inner,1T,M-H-1-34,7062,15,1Ta,1TA,6,PR115,,PB-29,J12,4,,,CI-A 008,P97,1,SN122498/0045,8,30201210004620,A,0x7b,0x10,-z up left 3,1,-z up left 2,2,1,brown-4,7/8,1,t,1294,down center,,9,1,1,BmI,PortCard Position:,,,,,
FPix_BmI_D1_BLD2_PNL2_RNG1,,2T,M-H-1-39,7065,14,1Ta,1TA,4,PR115,,PB-29,J12,4,,,CI-A 008,P97,2,SN122498/0041,8,30201210004620,A,0x7b,0x10,-z up left 3,2,-z up left 2,2,2,brown-4,31/32,1,b,1294,down center,,9,1,1,,XYZ-#:,X: disk number 1-3,,,,replaced PC 105 with 123
FPix_BmI_D1_BLD3_PNL2_RNG1,,3T,M-H-2-04,7075,13,1Ta,1TA,2,PR115,,PB-29,J12,4,,,CI-A 008,P97,3,SN122498/0046,8,30201210004620,A,0x7b,0x10,-z up left 3,3,-z up left 2,2,3,brown-4,7/8,2,t,1295,down center,,9,1,1,,,Y: top/bottom,,,,replaced PC 026 with 005
FPix_BmI_D1_BLD4_PNL2_RNG1,,4T,M-H-2-17,7032,15,1Tb,1TB,6,PR117,,PB-19,J12,4,,,CI-A 014,P98,5,SN122498/0028,8,30201210004620,B,0x7c,0x10,-z up left 4,1,-z up left 2,2,5,orange-2,3/4,3,t,1296,down center,,9,1,2,,,Z: position phi (a-d),,Z: position mirror (A-D),,
FPix_BmI_D1_BLD5_PNL2_RNG1,,5T,M-H-2-26,7031,14,1Tb,1TB,2,PR117,,PB-19,J12,4,,,CI-A 014,P98,7,SN122498/0044,8,30201210004620,B,0x7c,0x10,-z up left 4,3,-z up left 2,2,7,orange-2,3/4,4,t,1297,down center,,9,1,2,,,#: Slot number (1-7),,,,
FPix_BmI_D1_BLD6_PNL2_RNG1,,6T,M-H-2-28,7063,15,1Tc,1TC,6,PR124,,PB-1,J12,4,,,CI-A 045,P43,12,SN122498/0035,14,30201210004691,A,0x7e,0x10,-z down left 4,4,-z down left 2,2,8,brown-4,31/32,4,b,1297,down center,,10,1,1,,,,,,,
FPix_BmI_D1_BLD7_PNL2_RNG1,,7T,M-H-2-36,7060,14,1Tc,1TC,4,PR124,,PB-1,J12,4,,,CI-A 045,P43,13,SN122498/0039,14,30201210004691,A,0x7e,0x10,-z down left 4,3,-z down left 2,2,9,brown-4,7/8,5,t,1298,down center,,10,1,1,,BmI:,-z +x (left),,,,
FPix_BmI_D1_BLD8_PNL2_RNG1,,8T,M-H-2-47,7071,13,1Tc,1TC,2,PR124,,PB-1,J12,4,,,CI-A 045,P43,18,SN122498/0027,14,30201210004691,A,0x7e,0x10,-z down left 4,2,-z down left 2,2,10,brown-4,31/32,5,b,1298,down center,,10,1,1,,BmO:,-z -x (right),,,,
FPix_BmI_D1_BLD9_PNL2_RNG1,,9T,M-I-1-26,7066,15,1Td,1TD,6,PR123,,PB-12,J12,4,,,CI-A 006,P45,20,SN122498/0052,14,30201210004691,B,0x7d,0x10,-z down left 3,3,-z down left 2,2,12,orange-2,27/28,6,b,1299,down center,,10,1,2,,BpI:,+z +x (right),,,,
FPix_BmI_D1_BLD10_PNL2_RNG1,,10T,M-I-1-50,7057,14,1Td,1TD,4,PR123,,PB-12,J12,4,,,CI-A 006,P45,21,SN122498/0051,14,30201210004691,B,0x7d,0x10,-z down left 3,2,-z down left 2,2,13,orange-2,3/4,7,t,1300,down center,,10,1,2,,BpO:,+z -x (left),,,,
