Official name of position,internal disk name,internal naming per Disk,Module,flex cable,HubID,PC position phi,PC position Mirror,PC port,PC identifier,PC name,DCDC,DCDC J11/J12,DCDC channel,DCDC name,Filterboard DCS,Filterboard module power,POH board,POH Bundle,POH SN,DOH bundle,DOH QR,DOH A/B,CCU,channel,PP0 Adapter/FED,PP0 Ad.Slot/FED,PP0 Adapter/FEC,PP0 Ad.Slot/FEC,internal POH no,POH fiber color,FED channel,FED position,FED receiver,FED ID,FEC/FED crate,FEC ID,FEC position,mfec,mfecchannel,,,,,,,,
FPix_BpO_D1_BLD1_PNL2_RNG1,HC4-Disk1-Inner,1T,M-Y-H-NG,10017,15,1Ta,1TA,6,PR132,,PB-11,J12,4,,,CI-A 026,P81,1,SN112498/0007,8,30201210004667,A,0x7b,0x10,+z up left 3,1,+z up left 2,2,1,brown-4,7/8,1,t,1287,up center,,9,1,1,BpO,,PortCard Position:,,,,,
FPix_BpO_D1_BLD2_PNL2_RNG1,,2T,M-O-1-22,6077,14,1Ta,1TA,4,PR132,,PB-11,J12,4,,,CI-A 026,P81,2,SN112498/0021,8,30201210004667,A,0x7b,0x10,+z up left 3,2,+z up left 2,2,2,brown-4,31/32,1,b,1287,up center,,9,1,1,,,XYZ-#:,X: disk number 1-3,,,,replace PC 148 with 107
FPix_BpO_D1_BLD3_PNL2_RNG1,,3T,M-J-4-40,10001,13,1Ta,1TA,2,PR132,,PB-11,J12,4,,,CI-A 026,P81,3,SN112498/0022,8,30201210004667,A,0x7b,0x10,+z up left 3,3,+z up left 2,2,3,brown-4,7/8,2,t,1288,up center,,9,1,1,,,,Y: top/bottom,,,,replaced PC 148 with 107
FPix_BpO_D1_BLD4_PNL2_RNG1,,4T,M-Y-N-NA,6084,15,1Tb,1TB,6,PR137,,PB-3,J12,4,,,CI-A 015,P115,5,SN112498/0023,8,30201210004667,B,0x7c,0x10,+z up left 4,1,+z up left 2,2,5,orange-2,3/4,3,t,1289,up center,,9,1,2,,,,Z: position phi (a-d),,Z: position mirror (A-D),,replaced CI-A 056 with CI-A 038
FPix_BpO_D1_BLD5_PNL2_RNG1,,5T,M-O-3-04,6085,14,1Tb,1TB,2,PR137,,PB-3,J12,4,,,CI-A 015,P115,7,SN112498/0025,8,30201210004667,B,0x7c,0x10,+z up left 4,3,+z up left 2,2,7,orange-2,3/4,4,t,1290,up center,,9,1,2,,,,#: Slot number (1-7),,,,
FPix_BpO_D1_BLD6_PNL2_RNG1,,6T,M-O-1-01,6039,15,1Tc,1TC,6,PR133,,PB-20,J12,4,,,CI-A 049,P116,12,SN112498/0020,14,30201210004626,A,0x7e,0x10,+z down left 4,4,+z down left 2,2,8,brown-4,31/32,4,b,1290,up center,,10,1,1,,,,,,,,
FPix_BpO_D1_BLD7_PNL2_RNG1,,7T,M-Y-J-NP,6089,14,1Tc,1TC,4,PR133,,PB-20,J12,4,,,CI-A 049,P116,13,SN112498/0057,14,30201210004626,A,0x7e,0x10,+z down left 4,3,+z down left 2,2,9,brown-4,7/8,5,t,1291,up center,,10,1,1,,,BmI:,-z +x (left),,,,
FPix_BpO_D1_BLD8_PNL2_RNG1,,8T,M-P-1-33,6091,13,1Tc,1TC,2,PR133,,PB-20,J12,4,,,CI-A 049,P116,18,SN112498/0059,14,30201210004626,A,0x7e,0x10,+z down left 4,2,+z down left 2,2,10,brown-4,31/32,5,b,1291,up center,,10,1,1,,,BmO:,-z -x (right),,,,
FPix_BpO_D1_BLD9_PNL2_RNG1,,9T,M-P-2-45,10002,15,1Td,1TD,6,PR136,,PB-26,J12,4,,,CI-A 048,P117,20,SN112498/0042,14,30201210004626,B,0x7d,0x10,+z down left 3,3,+z down left 2,2,12,orange-2,27/28,6,b,1292,up center,,10,1,2,,,BpI:,+z +x (right),,,,
FPix_BpO_D1_BLD10_PNL2_RNG1,,10T,M-Y-M-NJ,6094,14,1Td,1TD,4,PR136,,PB-26,J12,4,,,CI-A 048,P117,21,SN112498/0054,14,30201210004626,B,0x7d,0x10,+z down left 3,2,+z down left 2,2,13,orange-2,3/4,7,t,1293,up center,,10,1,2,,,BpO:,+z -x (left),,,,
FPix_BpO_D1_BLD11_PNL2_RNG1,,11T,M-K-1-29,6099,13,1Td,1TD,2,PR136,,PB-26,J12,4,,,CI-A 048,P117,22,SN112498/0053,14,30201210004626,B,0x7d,0x10,+z down left 3,1,+z down left 2,2,14,orange-2,27/28,7,b,1293,up center,,10,1,2,,,,,,,,
